NISS_patient,medecin,inami_medecin,pharmacien,inami_pharmacien,medicament_nom_commercial,DCI,date_prescription,date_vente,duree_traitement
250282214560,CORNU,112207272267,BREDEL,109934288899,M-Prednisolon,PRASUGREL,05/14/2012,05/19/2012,2
250282214560,DUBOSC,831243339647,SENECAL,325922365310,Lercolin,GLICLAZIDE,02/15/2019,02/18/2019,7
250282214560,CLEMENT,11799469144,BOURDON,4002240609,Genocolan,CLOFARABINE,02/10/2020,02/13/2020,2
250282214560,PELLETIER,163906727484,GIRARD,580434080972,Levaxin,GRANISETRON,04/05/2020,04/06/2020,28
250282214560,DESCHAMPS,868928069574,DEBRIS,773355257439,Lucen,OMEPRAZOLE,01/07/2019,01/07/2019,365
250282214560,BOCQUET,65558722177,GALLAIS,600960895887,Liponorm,LOSARTAN,08/31/2015,09/03/2015,56
250282214560,MALLET,715147088037,BIGOT,607851773510,Leuplin,GLIPIZIDE,09/27/2012,10/01/2012,28
250282214560,DUBOSC,831243339647,QUESNEY,212432996906,Levaxin,GRANISETRON,12/07/2016,12/11/2016,3650
250282214560,BOIVIN,198069873406,BERNARD,700209238577,Helicid,ATORVASTATINE,07/04/2019,07/08/2019,28
250282214560,PELLETIER,163906727484,AUVRAY,496927523030,Lumefantrin,ONDANSETRON,07/01/2020,07/06/2020,365
54723498984,DEHAIS,719361786232,LACAILLE,382830537208,Gentoxil,AMSACRINE,02/04/2009,02/10/2009,56
54723498984,MARTIN,314915603278,BLONDEL,916295870404,Lomofren,METOPROLOL,01/01/2019,01/06/2019,60
54723498984,BOCQUET,20204362881,CHEVALLIER,767419623579,Lotusix,NITRENDIPINE,03/06/2010,03/08/2010,15
54723498984,MALLET,252936957110,AUVRAY,496927523030,Ativestin,TRASTUZUMAB,11/08/1993,11/08/1993,2
54723498984,DELAFOSSE,382160746969,LEFEBVRE,402578170239,Halopred,ATAZANAVIR,12/21/1992,12/22/1992,120
2017845529,GRUEL,368800041638,LECOMTE,327109524209,Liraglutid,MEFLOQUINE,11/26/2014,11/28/2014,120
2017845529,GRANCHER,809271706293,GOUPIL,945427022339,Liraglutid,MEFLOQUINE,05/21/1978,05/22/1978,3
2017845529,GRENIER,994198510646,MABIRE,976176585481,Ketorin,DUTASTERIDE,12/10/1988,12/15/1988,60
2017845529,GRANCHER,809271706293,DESHAYES,281095929470,Loxaryl,NORETHISTERONE,05/27/1961,06/01/1961,2
2017845529,PHILIPPE,31444857441,BERNARD,700209238577,Kanamix,DESOGESTREL,09/16/2014,09/20/2014,56
2017845529,DUFOUR,128726035284,FORTIN,762175463053,Lusafan,OXYBUTYNINE,10/23/2014,10/25/2014,120
2017845529,PHILIPPE,154853156743,LESAGE,280153934708,Glykosid,ALFENTANIL,06/14/2019,06/17/2019,730
2017845529,LEVILLAIN,539658806729,LEVASSEUR,772152164270,Dazitol,CAPECITABINE,08/31/1990,09/03/1990,2
2017845529,CAUMONT,836786700139,DUFILS,153665418321,Ecotrin,CYPROTERONE,11/07/1977,11/10/1977,15
2017845529,MOTTE,72768837276,LEMIRE,998088142669,Benotrex,OXALIPLATINE,06/10/1976,06/11/1976,7
2017845529,BANCE,904362019031,LEMESLE,149365200637,Lupin,OXYBUTYNINE,04/30/2005,04/30/2005,15
2017845529,DESJARDINS,406736862759,SIMON,522008324252,Ketomed,DUTASTERIDE,01/04/1987,01/04/1987,7
2017845529,CAUMONT,836786700139,HERICHER,483777547219,Macrogol,PROGUANIL,06/14/2019,06/20/2019,56
2017845529,HERVIEU,914798616333,BENARD,263214195431,Ketoprom,DUTASTERIDE,09/28/1991,10/03/1991,5
2017845529,LEMAIRE,217643234271,CLATOT,373777729200,Ketomed,DUTASTERIDE,11/09/2006,11/10/2006,730
2017845529,DELAUNE,364780447812,LECANU,606805240736,Lusafan,OXYBUTYNINE,12/22/1964,12/23/1964,7
526929815398,PELTIER,611792149551,MULOT,25651294959,Lipicard,LANSOPRAZOLE,09/20/1933,09/23/1933,7
526929815398,PORET,319045503354,LEFORT,499947416926,Lactulax,ETRAVIRINE,03/14/1984,03/18/1984,730
526929815398,MALLET,715147088037,BELLET,594631418667,Korzem,ESOMEPRAZOLE,09/05/1958,09/08/1958,30
526929815398,LEGER,291285655394,BARRE,373698690955,Lasolvan,FLUVASTATINE,10/17/1979,10/22/1979,3
534930629278,GOUPIL,392110851492,DUFILS,153665418321,Lorzaar,NAPROXENE,11/06/1986,11/09/1986,7
534930629278,PIMONT,345608037934,GILLE,511996186319,Madapollam,PROMETHAZINE,04/16/2004,04/16/2004,730
534930629278,MALLET,715147088037,ROSE,853038478052,Lusopress,PANTOPRAZOLE,02/02/2018,02/03/2018,120
534930629278,CORNU,627442429591,BENOIST,775407344830,Lipoxen,MEFLOQUINE,05/30/1993,06/01/1993,30
534930629278,CAUMONT,836786700139,VASSE,828762572239,Lorano,MOCLOBEMIDE,06/07/2008,06/10/2008,30
534930629278,LEFRANCOIS,587318834205,NORMAND,405171430382,Kanoprem,DICLOFENAC,05/21/2002,05/23/2002,56
99918286264,ANGOT,764281699958,LEMIRE,998088142669,Klavocin,EPLERENONE,12/08/2008,12/10/2008,60
99918286264,BLANCHARD,10671959917,BOUDIN,363930230002,Lopril,MIRTAZAPINE,01/19/2007,01/22/2007,60
99918286264,ANGOT,325744809786,MABIRE,645019441550,Loxifan,NORTRIPTYLINE,02/19/2010,02/22/2010,730
99918286264,FOSSE,375462405027,HEBERT,828227539900,Lopresor,MIRTAZAPINE,09/03/2010,09/05/2010,28
99918286264,GALLAIS,987916642855,GRENET,80156206744,Lipeq,KETOCONAZOLE,06/15/2008,06/16/2008,5
99918286264,DESHAYES,730877845808,PAIN,197803009941,Linoliz,ISRADIPINE,12/19/2006,12/22/2006,2
99918286264,SELLIER,10859725557,HUBERT,232805177428,Lipoxen,MEFLOQUINE,06/27/2010,07/03/2010,30
99918286264,HAREL,297935617514,SAUVAGE,448813853206,Liraglutid,MEFLOQUINE,07/10/2015,07/16/2015,2
99918286264,BARRE,168299837897,BOULET,71104553048,Luxazone,PARACETAMOL,04/18/2009,04/18/2009,3650
99918286264,ANGOT,764281699958,DUMENIL,349076965116,Lotrial,NITRENDIPINE,08/10/2006,08/13/2006,120
99918286264,LEGENDRE,650440774574,CHAUVIN,685290008086,Klavocin,EPLERENONE,01/11/2020,01/16/2020,3650
99918286264,DESHAYES,730877845808,CARDON,473770579713,Hydrinol,BOSENTAN,08/21/2011,08/27/2011,28
627585816533,LECANU,19068943685,FERET,190355923201,Femamox,MEDROXYPROGESTERONE,11/11/1990,11/16/1990,60
627585816533,COUTURIER,861866991701,MOUCHARD,819016335077,Genocolan,CLOFARABINE,07/09/2003,07/11/2003,5
627585816533,RICHARD,826923957765,QUESNEY,212432996906,Lipohexal,LORATADINE,09/23/2013,09/27/2013,30
627585816533,DESHAYES,730877845808,ISAAC,364472258295,Lamidus,FELODIPINE,10/28/1985,10/30/1985,120
627585816533,QUIBEL,974467362920,GUERIN,314987000437,Dyketon,BICALUTAMIDE,07/29/2017,08/03/2017,120
627585816533,LEVILLAIN,539658806729,LEMONNIER,791664168991,Masivet,RISPERIDONE,07/26/2006,07/31/2006,60
627585816533,BAILLEUL,393148243471,HENRY,718707341777,Lamifin,FENTANYL,12/22/1997,12/25/1997,60
627585816533,MABIRE,330578492076,MARC,633319227389,Lipohexal,LORATADINE,07/26/1983,07/26/1983,730
627585816533,PELTIER,611792149551,FRERET,584647012581,Lorazin,MONTELUKAST,09/10/2001,09/12/2001,730
627585816533,PORET,342625089196,PELTIER,643635077556,Loxaryl,NORETHISTERONE,08/19/1984,08/19/1984,120
627585816533,DESHAYES,705084069764,LEVASSEUR,772152164270,Glicetanil,ACENOCOUMAROL,02/05/2018,02/06/2018,3
627585816533,LEMERCIER,584363895321,MOTTE,258621787004,Maximune,RIVAROXABAN,12/03/1983,12/07/1983,2
627585816533,DELAUNE,611351830938,TALBOT,392734715013,Lyxumia,PRASUGREL,08/05/1995,08/05/1995,3650
627585816533,BRUMENT,455103501850,RIOULT,817552118441,Glaucotensil,HYDROXYCARBAMIDE,11/21/1992,11/26/1992,730
627585816533,MALLET,252936957110,POULAIN,806751992071,Gynestrel,APIXABAN,06/27/1994,06/30/1994,3650
26172723396,PIMONT,345608037934,CHEVALLIER,142381096286,Lipofix,LIDOCAÏNE,05/19/2011,05/23/2011,3650
26172723396,GOSSE,121309254322,SANSON,384410442786,Maprotiline,REBOXETINE,11/21/2011,11/27/2011,30
26172723396,SANSON,718881385402,HEBERT,828227539900,Kanixone,DICLOFENAC,05/04/2015,05/07/2015,3
148454279897,PICARD,625021452140,JOUEN,765251446125,Kamistad,DARUNAVIR,10/13/1993,10/13/1993,60
148454279897,LETAILLEUR,374227189439,LOUVEL,681021734325,Lisinopril,MEFLOQUINE,05/13/1987,05/18/1987,56
148454279897,FREMONT,742418596838,GILLES,184480882791,Fenysed,DASATINIB,11/11/2002,11/16/2002,120
148454279897,DROUET,130906640348,NORMAND,882576282032,Lapatanib,FLUOXETINE,12/25/1966,12/30/1966,15
148454279897,CHAPELLE,359067841159,HEBERT,828227539900,Artridol,RITUXIMAB,12/02/2006,12/08/2006,60
148454279897,LENORMAND,470650054865,MOREL,826740022480,Liraglutid,MEFLOQUINE,09/04/2005,09/06/2005,365
148454279897,CHAPELLE,642658250076,LOISEL,881182873340,Macrogol,PROGUANIL,06/06/1991,06/09/1991,15
148454279897,DUJARDIN,613615284746,LOISEL,881182873340,Martimil,RIFABUTINE,07/09/1990,07/11/1990,7
148454279897,PICARD,625021452140,LEMIRE,998088142669,Lactulax,ETRAVIRINE,08/20/1995,08/22/1995,3
148454279897,PARMENTIER,479414577349,LEMAITRE,124798830594,Losartan,NEVIRAPINE,12/23/2008,12/28/2008,365
148454279897,FOLLIOT,44133993198,SANSON,384410442786,Glymide,ALPRAZOLAM,12/08/1995,12/08/1995,28
148454279897,PORET,319045503354,DUMENIL,349076965116,Inflanefran,CITALOPRAM,11/19/1985,11/22/1985,30
148454279897,PICARD,625021452140,VAUTIER,144413457345,Macrolane,PROGUANIL,02/03/2000,02/09/2000,15
148454279897,GUILBERT,135389206029,DEHAIS,514906291867,Lactulax,ETRAVIRINE,01/08/1986,01/13/1986,7
654955227380,DESHAYES,705084069764,DEBRIS,87661659910,Glicim,ACENOCOUMAROL,02/26/1990,03/03/1990,28
654955227380,RIOULT,784205459765,FERET,190355923201,Lithioderm,MELOXICAM,11/11/2016,11/17/2016,30
654955227380,MABIRE,330578492076,BENOIST,775407344830,Macmiror,PREDNISOLONE,06/12/1978,06/12/1978,3650
654955227380,ANGOT,764281699958,GODARD,383503237168,Lamogin,FINASTERIDE,12/12/2008,12/17/2008,15
654955227380,BOIVIN,513018177423,LAMY,972996161030,Klerimed,EPLERENONE,07/11/1979,07/13/1979,60
654955227380,CARON,851282315820,VATINEL,546964497503,Fenylar,TEMSIROLIMUS,11/19/1991,11/24/1991,365
301104888404,RICHARD,861061902999,DROUET,702226866781,Anfarin,PANITUMUMAB,12/06/1934,12/12/1934,30
301104888404,DESHAYES,730877845808,FRERET,584647012581,Loxaryl,NORETHISTERONE,06/07/1933,06/08/1933,56
301104888404,LEMERCIER,550306854124,LEVILLAIN,644064691457,Macromax,PROGUANIL,09/25/2001,09/28/2001,60
301104888404,DUBOIS,873628823867,LEFEBVRE,132478631169,Mallorol,QUINIDINE,09/14/1976,09/19/1976,120
301104888404,MORIN,922795567353,LEVASSEUR,803072306298,Martimil,RIFABUTINE,04/15/1936,04/16/1936,28
301104888404,BOCQUET,20204362881,BLANCHARD,593759428319,Kanamix,DESOGESTREL,01/03/2014,01/04/2014,56
301104888404,CORDIER,416839787045,FOSSE,841458252885,Liponorm,LOSARTAN,09/16/1991,09/20/1991,15
301104888404,BOCQUET,65558722177,GILLES,184480882791,Dipilox,ETOPOSIDE,06/05/1932,06/06/1932,3
301104888404,BOIVIN,513018177423,MARC,633319227389,Ketorin,DUTASTERIDE,11/02/1950,11/06/1950,5
301104888404,MARTIN,314915603278,HERICHER,483777547219,Idrosalure,AMLODIPINE,07/13/2006,07/19/2006,60
301104888404,DESHAYES,730877845808,HAREL,339959247235,Lasolvan,FLUVASTATINE,09/12/1996,09/16/1996,365
301104888404,LEMERCIER,550306854124,CARDON,473770579713,Lipeq,KETOCONAZOLE,09/02/1963,09/08/1963,3
301104888404,ALEXANDRE,377959665299,HENRY,103619031754,Lecicarbon,FOSAMPRENAVIR,05/21/1971,05/23/1971,15
301104888404,MUTEL,250995462113,LAURENT,97112961296,Limbrel,INDINAVIR,08/31/1991,09/04/1991,365
301104888404,LACHEVRE,881956980720,THIERRY,284064093368,Clemastin,IFOSFAMIDE,06/28/1997,07/02/1997,56
301104888404,CAUVIN,821028996447,DUFOUR,864551363647,Lasilix,FLUVASTATINE,10/30/1981,11/05/1981,3650
301104888404,PORET,342625089196,GOUPIL,945427022339,Madécassol,PROPAFENONE,12/28/1956,01/02/1957,2
203700733840,SANSON,718881385402,FREMONT,225290915696,Kanrex,DICLOFENAC,02/25/1981,02/25/1981,56
203700733840,PREVOST,428567962428,HAUGUEL,285826141112,Kefurox,DIPHENHYDRAMINE,07/19/2015,07/23/2015,15
203700733840,MABIRE,330578492076,SANSON,932879657259,Laroxyl,FLURBIPROFENE,11/02/1993,11/02/1993,56
203700733840,DUMONTIER,774465828876,CROCHEMORE,64418437018,Macrophen,PROMETHAZINE,04/12/1980,04/17/1980,3650
203700733840,MARY,851247046621,BOUDIN,1762578168,Kemadren,DIPHENHYDRAMINE,08/07/2018,08/13/2018,56
203700733840,BARRE,564639629741,ISAAC,364472258295,Calmitol,CARMUSTINE,08/01/2000,08/07/2000,2
71761694575,DELAUNAY,233366296957,GILLES,440940770616,Lasiletten,FLURBIPROFENE,11/23/2020,11/29/2020,3
71761694575,LEROY,506588946916,GROUT,170438390732,Kanisporin,DIAZEPAM,12/05/2020,12/11/2020,7
71761694575,LEVASSEUR,778583979667,SAUNIER,149651198072,Kanrex,DICLOFENAC,09/20/2020,09/26/2020,730
71761694575,MABIRE,391774212661,CLEMENT,268056112978,Dopacan,ANAGRELIDE,12/21/2020,12/22/2020,60
71761694575,LECANU,19068943685,LETAILLEUR,204227851655,Glicetanil,ACENOCOUMAROL,12/17/2020,12/22/2020,56
71761694575,AUBE,682900535898,CLEMENT,412383690415,Ibunate,BUPIVACAÏNE,09/05/2020,09/07/2020,56
71761694575,DENIS,326231043572,ROUSSEAU,423780095512,Alitovir,CETUXIMAB,10/03/2020,10/04/2020,15
71761694575,DELAUNAY,233366296957,PANCHOUT,530969951265,Macmiror,PREDNISOLONE,09/03/2020,09/03/2020,3650
71761694575,LECANU,19068943685,CORNU,59848800370,Ismolax,CLOPIDOGREL,10/16/2020,10/20/2020,3
71761694575,BEAUFILS,858654228527,BOUDIN,1762578168,Lifter,IMIPRAMINE,10/02/2020,10/02/2020,730
71761694575,DROUET,130906640348,ANDRE,624505790681,Lamitor,FENTANYL,11/05/2020,11/09/2020,15
71761694575,RENAULT,876081161304,GIRARD,310455031463,Kanrex,DICLOFENAC,10/01/2020,10/02/2020,2
476338558250,RICHARD,826923957765,LEJEUNE,104433036609,Furobact,SUNITINIB,07/02/2018,07/02/2018,3650
766038989236,PICARD,548790244051,BLONDEL,916295870404,Maprotiline,REBOXETINE,10/11/2002,10/12/2002,3
766038989236,PORET,393302858347,DELABARRE,782171334531,Labetalol,ETHOSUXIMIDE,02/25/2020,02/28/2020,5
766038989236,MORIN,922795567353,LESEIGNEUR,470616730662,Loralerg,MIRTAZAPINE,04/01/2011,04/04/2011,56
766038989236,ALEXANDRE,79056308748,QUEVAL,778120925141,Lipohexal,LORATADINE,08/31/2002,09/03/2002,15
766038989236,AUBE,682900535898,DUFOUR,170405314090,Levex,HALOPERIDOL,05/18/2015,05/22/2015,56
766038989236,ROUSSEL,135747643279,NIEL,509229634598,Fludacil,LAPATINIB,03/22/2017,03/22/2017,2
766038989236,DENIS,326231043572,GODARD,383503237168,Epranol,EXEMESTANE,10/30/2006,11/03/2006,3
766038989236,LEMARCHAND,899291903941,ROMAIN,86610884650,Lacosamid,ETHOSUXIMIDE,12/11/2020,12/13/2020,56
766038989236,DUBUC,929855336339,BACHELET,213302312241,Malegra,QUETIAPINE,09/02/2008,09/02/2008,2
766038989236,LEVASSEUR,778583979667,LOUVET,181941561780,Livazo,METHYLPREDNISOLONE,06/23/1999,06/28/1999,3650
766038989236,BAILLEUL,977695238476,LESEIGNEUR,470616730662,Epihisto,ANASTROZOLE,06/27/2013,06/30/2013,120
766038989236,PORET,319045503354,FREMONT,225290915696,Kenflex,DONEPEZIL,03/01/2002,03/07/2002,5
766038989236,ADAM,349913450816,BENOIST,775407344830,Anfarin,PANITUMUMAB,06/14/2001,06/19/2001,5
766038989236,DEMAREST,265571451325,OSMONT,550289567520,Maprotiline,REBOXETINE,02/19/2009,02/25/2009,3
766038989236,DENIS,326231043572,AUBER,237700864466,Dibatrol,DAUNORUBICINE,12/22/1999,12/27/1999,2
766038989236,MARAIS,319408104386,GUERIN,314987000437,Artridol,RITUXIMAB,10/01/2000,10/04/2000,120
766038989236,CHANDELIER,669036934980,DELAHAYE,35185900372,Matrifen,RISPERIDONE,02/16/2009,02/22/2009,730
766038989236,CARON,296062204840,GIFFARD,126033917704,Livostin,METHYLPREDNISOLONE,02/19/2011,02/23/2011,7
687906615565,CARON,208131386655,AUVRAY,496927523030,Lipofren,LORATADINE,12/16/1965,12/18/1965,365
687906615565,LENORMAND,470650054865,DUBOC,485496770150,Liraglutid,MEFLOQUINE,02/02/1986,02/05/1986,3650
687906615565,MORIN,922795567353,LEBRET,480809020916,Kofein,ERYTHROMYCINE,09/09/1993,09/15/1993,3
687906615565,BOIVIN,198069873406,BARBIER,448943146714,Imdur,CARVEDILOL,05/15/1968,05/20/1968,60
687906615565,MARTEL,66443930415,BELLENGER,904085228997,Gevilon,AMSACRINE,03/31/2000,04/01/2000,3
132116059863,LOISEL,412256346595,HAUGUEL,285826141112,Laroxyl,FLURBIPROFENE,03/30/2002,03/31/2002,365
132116059863,FOLLIOT,44133993198,LECLERC,205713092361,Fibroxol,ERLOTINIB,02/22/2017,02/22/2017,30
132116059863,ROGER,635338131347,BIGOT,607851773510,Lumefantrin,ONDANSETRON,04/09/2000,04/10/2000,3650
309707752399,MAILLARD,854591964841,LABBE,946168930365,Inoscorbin,CLARITHROMYCINE,01/14/2014,01/20/2014,28
309707752399,LEPRETRE,420605238261,DORE,898776312951,Kanacill,DARUNAVIR,12/25/2017,12/28/2017,3
309707752399,CANU,695935011192,HENRY,103619031754,Lorzaar,NAPROXENE,11/27/2014,11/30/2014,2
309707752399,VAUTIER,495656882223,LELEU,495392300903,Macrodantin,PREDNISOLONE,04/12/2018,04/14/2018,5
309707752399,PICARD,625021452140,FRIBOULET,933812995526,Kandicin,DIAZEPAM,08/12/2016,08/15/2016,730
309707752399,OLIVIER,950970788804,LEFEBVRE,402578170239,Decavit,CYTARABINE,06/14/2015,06/16/2015,56
309707752399,PHILIPPE,154853156743,LAMY,556818335507,Lysucin-C,PHENOBARBITAL,07/30/2015,07/31/2015,56
599223743560,PELTIER,611792149551,GRUEL,804228571860,Kanoprem,DICLOFENAC,10/15/1967,10/19/1967,5
599223743560,DUFOUR,844435899435,CARDON,473770579713,Cotrisol,TEMOZOLOMIDE,12/19/1993,12/20/1993,3650
599223743560,MAILLARD,854591964841,HAREL,60139234595,Losap,NELFINAVIR,08/09/1986,08/15/1986,60
599223743560,MUTEL,250995462113,HAREL,339959247235,Maxidex,RITONAVIR,02/09/1976,02/10/1976,15
599223743560,MARAIS,319408104386,FRANCOIS,633380878862,Fenoxin,LENALIDOMIDE,07/21/1996,07/26/1996,730
599223743560,COUTURIER,861866991701,HUBERT,232805177428,Fidigen,ERLOTINIB,11/05/2015,11/06/2015,3650
599223743560,LEBLOND,719180108746,ROUSSEAU,423780095512,Ketorin,DUTASTERIDE,07/28/2013,08/01/2013,7
599223743560,CORNU,627442429591,LACHEVRE,737011051825,Lipeq,KETOCONAZOLE,04/24/1993,04/29/1993,28
599223743560,FRANCOIS,746205735423,MENARD,741597045983,Halolyn,ATAZANAVIR,02/07/1973,02/07/1973,56
599223743560,LEVILLAIN,539658806729,DELAHAYE,35185900372,Marol,REPAGLINIDE,01/14/2004,01/19/2004,365
599223743560,ROUSSEL,135747643279,PELLETIER,88635241758,Lasiletten,FLURBIPROFENE,06/06/1963,06/10/1963,365
326093737558,ANGOT,325744809786,BELLENGER,97666991728,Lifestat,IMIPRAMINE,07/16/2005,07/21/2005,120
326093737558,RENAULT,876081161304,COQUEREL,714194836024,Fosinopril,SORAFENIB,07/15/2007,07/17/2007,2
326093737558,JOLY,923330323668,CLEMENT,268056112978,Lansoq,FLUOXETINE,11/19/2010,11/24/2010,60
326093737558,BREDEL,292810273169,PETIT,949320451322,Macrodex,PROMETHAZINE,07/22/1975,07/25/1975,60
326093737558,MOTTE,72768837276,BENARD,263214195431,Hydroserp,BROMOCRIPTINE,09/03/1991,09/06/1991,3
326093737558,LEGRAS,356343965047,LAMY,972996161030,Kanaspiron,DIAZEPAM,01/27/1986,01/30/1986,3650
326093737558,MOTTE,72768837276,LABBE,946168930365,Kendral,DONEPEZIL,05/28/2000,05/31/2000,3
326093737558,ETIENNE,311105363861,LEROY,943909328706,Mamofen,QUININE,12/18/1959,12/18/1959,2
326093737558,BENARD,108875494924,LEMIRE,998088142669,Fendex,MEGESTROL,11/08/2004,11/08/2004,56
326093737558,LEGRAS,356343965047,BEAUFILS,792368554760,Loratrend,MODAFINIL,02/10/1956,02/13/1956,30
934687852590,GUILBERT,135389206029,MOUCHARD,54655002612,Lipanthyl,ITRACONAZOLE,08/05/2017,08/06/2017,15
934687852590,CLATOT,373337694008,FREMONT,795916192956,Halotex,ATAZANAVIR,09/30/2017,10/02/2017,7
685693947068,LENORMAND,470650054865,BENARD,263214195431,Lotusix,NITRENDIPINE,10/05/1998,10/08/1998,30
685693947068,FREMONT,742418596838,DUFILS,153665418321,Glynase,ALPRAZOLAM,10/23/1962,10/24/1962,60
685693947068,LEMERCIER,550306854124,DEHAIS,826038260632,Marpres,RIFABUTINE,04/01/2020,04/04/2020,120
666845568897,LECONTE,764113960350,AVENEL,190182350500,Lipohexal,LORATADINE,03/01/1989,03/06/1989,730
666845568897,PORET,319045503354,MOUCHARD,37878730881,Iodocap,CLOMIPRAMINE,04/16/2003,04/16/2003,120
445974476739,LEVASSEUR,778583979667,QUESNEY,212432996906,Kanrex,DICLOFENAC,12/08/2006,12/09/2006,120
445974476739,DELAUNAY,233366296957,FRIBOULET,933812995526,Macmiror,PREDNISOLONE,11/27/2018,11/29/2018,30
445974476739,BLANCHARD,10671959917,AUGER,353030337661,Iridocyclitis,CLONAZEPAM,10/22/2010,10/28/2010,15
445974476739,LOISEL,412256346595,MOUCHARD,54655002612,Livazo,METHYLPREDNISOLONE,12/27/2010,12/29/2010,365
